,Name,Country,Region,Winery,Rating,NumberOfRatings,Price,Year,Types
64,Ballerine Brut Étoile Rosé N.V.,France,Crémant de Limoux,Gérard Bertrand,4.0,91,50.14,,Champagne
65,Brut Rosé Champagne N.V.,France,Champagne,Gallimard Père & Fils,4.0,95,28.95,,Champagne
66,Réserve Brut Champagne N.V.,France,Champagne,Morize Père & Fils,3.8,97,30.3,,Champagne
67,Crémant de Limoux Brut N.V.,France,Crémant de Limoux,La Louvière,3.9,98,18.79,,Champagne
68,Esprit Brut Champagne N.V.,France,Champagne,Baron-Fuenté,3.7,99,35.89,,Champagne
69,Brut Rosé d'Assemblage Champagne N.V.,France,Champagne,Gremillet,3.9,100,31.5,,Champagne
70,Esprit Blanc de Blancs Champagne N.V.,France,Champagne,Baron-Fuenté,3.8,101,35.89,,Champagne
71,Extra Brut Champagne N.V.,France,Champagne,Irroy,3.7,101,30.75,,Champagne
72,Vouvray Brut Extrème Réserve Privée N.V.,France,Vouvray,Marc Brédif,3.9,105,19.9,,Champagne
73,Authentique Blanc de Blancs Brut Champagne N.V.,France,Champagne,Le Brun de Neuville,3.9,106,39.95,,Champagne
74,Rosé Brut Champagne (Extra Cuvée de Réserve) 2012,France,Champagne,Pol Roger,4.3,107,66.29,2012,Champagne
75,Blanc de Noirs Brut Pinot Meunier Champagne N.V.,France,Champagne,Henriet-Bazin,4.0,110,34.95,,Champagne
76,Rosé Champagne N.V.,France,Champagne,Louis Casters,3.8,110,22.95,,Champagne
77,Blanc de Blancs Brut Champagne Premier Cru 2013,France,Champagne Premier Cru,Mandois,4.0,110,30.17,2013,Champagne
78,Graphic Ice Rosé Champagne N.V.,France,Champagne,Nicolas Feuillatte,3.8,111,35.0,,Champagne
79,Millésime Brut Collection Mémoire Champagne Grand Cru 'Aÿ' 2010,France,Champagne Grand Cru 'Aÿ',Lallier,4.3,112,65.69,2010,Champagne
80,D Millésimé Champagne 2008,France,Champagne,Veuve A. Devaux,4.0,112,57.51,2008,Champagne
81,R.012 D Extra Dosage Aÿ Champagne N.V.,France,Champagne,Lallier,3.9,113,41.05,,Champagne
82,Cuvée Oenophile Non Dose Extra Brut Champagne Premier Cru 2012,France,Champagne Premier Cru,Pierre Gimonnet & Fils,4.1,114,42.0,2012,Champagne
83,Etienne Crémant de Loire Brut N.V.,France,Crémant de Loire,Bouvet-Ladubay,3.6,114,10.2,,Champagne
84,Crémant de Bourgogne Brut Rosé N.V.,France,Bourgogne,Paul Delane,3.6,117,13.45,,Champagne
85,Sir Winston Churchill Brut Champagne 2009,France,Champagne,Pol Roger,4.6,117,184.24,2009,Champagne
86,R.012 N Brut Nature Aÿ Champagne N.V.,France,Champagne,Lallier,4.0,119,41.05,,Champagne
87,Tresor Brut 2012,France,Saumur,Bouvet-Ladubay,3.8,122,35.5,2012,Champagne
88,002 Sparkling N.V.,France,Côtes de Gascogne,Uby,3.6,122,8.5,,Champagne
89,Brut Vintage Champagne (Cuvée Royale) 2004,France,Champagne,Joseph Perrier,3.9,122,60.08,2004,Champagne
90,Cuvée Elisabeth Salmon Brut Rosé Champagne 2007,France,Champagne,Billecart-Salmon,4.5,125,184.24,2007,Champagne
